period,price
2021Q1,106.0
2021Q2,113.4
2021Q3,119.2
2021Q4,126.0
2022Q1,136.1052
2022Q2,144.92481696000002
2022Q3,151.20006153436802
2022Q4,152.48526205741015
2023Q1,151.58559901127143
2023Q2,153.5107361187146
2023Q3,159.78932522597003
2023Q4,167.25148671402283
2024Q1,171.4662241792162
2024Q2,175.13560137665144
2024Q3,179.1286930880391
2024Q4,182.01266504675655
2025Q1,185.58011328167296
2025Q2,188.47516304886707
2025Q3,191.39652807612453
2025Q4,197.84659107228993
2026Q1,205.4834694876803
